confidence,isReliable,language,text
0.448861539363861,FALSE,ja,Avdoshina
0.715953290462494,FALSE,id,Saputra
1,FALSE,en,Hanushek
0.833268463611603,FALSE,nl,van Dam
0.834645748138428,FALSE,en,Cook
0.39856630563736,FALSE,en,Rossolatos
0.43461537361145,FALSE,bn,Nayak
0.95233017206192,FALSE,af,Niesing
0.80859375,FALSE,de,Leitner
0.810659468173981,FALSE,de,Romanick-Schmiedl
0.96875,FALSE,en,Zhang
0.9296875,FALSE,en,Reid
0.262908428907394,FALSE,eu,Ginfalean
1,FALSE,zh-CN,董
0.841293692588806,FALSE,zh-TW,亜斗夢
0.94921875,FALSE,en,Liu
0.603921592235565,FALSE,pt,Santana
0.304347813129425,FALSE,eu,Beno
0.650980412960053,FALSE,en,Rosenberg
1,FALSE,eo,Francl
0.384798496961594,FALSE,es,Aguilar-Shea
1,FALSE,tk,Duruz
0.929133892059326,FALSE,pl,Malec
0.98828125,FALSE,ar,Kamel
0.98046875,FALSE,zh-CN,Zhou
0.580069005489349,FALSE,es,Mugica-Alvarez
0.859375,FALSE,en,Wilson
0.80859375,FALSE,en,Chen
0.482150942087174,FALSE,pt,Guilherme V. L. Silva
1,FALSE,hi,Pujanandez
0.476759642362595,FALSE,hi,Morshed
0.711626350879669,FALSE,eu,DiMuzio
0.918918907642365,FALSE,id,Permatasari
0.61176472902298,FALSE,id,Janda
0.69921875,FALSE,en,Lauer
0.40406796336174,FALSE,sw,Rajwa
0.529182851314545,FALSE,tr,Turk
1,FALSE,et,Harmooshi
0.98342376947403,FALSE,ro,Fonturbel
0.98046875,FALSE,tr,Kartal
0.96875,FALSE,sq,Duan
1,FALSE,ta,Thevarajan
0.925490200519562,FALSE,en,Block
0.872093021869659,FALSE,en,Richardson
0.55859375,FALSE,id,ITC
0.627417683601379,FALSE,en,Martin-Villares
0.721374094486237,FALSE,en,Oh
1,FALSE,id,Silaen
1,FALSE,en,Kristic
0.8515625,FALSE,en,Editor
0.890625,FALSE,ro,Serban
0.476686209440231,FALSE,sn,Ndandara
0.96875,FALSE,en,Qin
0.947607040405273,FALSE,es,Alvarez Moreno
0.91015625,FALSE,en,Smith
0.730459034442902,FALSE,ja,Mirauda
0.505928874015808,FALSE,es,Goitia
1,FALSE,id,Mustopa
1,FALSE,zh-CN,Yao
1,FALSE,en,Nofal
0.961240291595459,FALSE,en,Keen
1,FALSE,fy,Stome
0.466926068067551,FALSE,hi,Munshi
0.486166000366211,FALSE,et,Paik
0.8203125,FALSE,tr,Adini
0.513105630874634,FALSE,es,Luzuriaga
0.843137264251709,FALSE,en,Lancet
0.533778011798859,FALSE,ku,Alavi Darazam
0.41015625,FALSE,es,Tomar
0.844961225986481,FALSE,en,Nasser
1,FALSE,ca,Muntanola
0.61176472902298,FALSE,hi,Bakht
1,FALSE,es,Baquedano
0.918287932872772,FALSE,it,Maugeri
0.96875,FALSE,en,Zhang
0.421875,FALSE,ja,Dai
0.828125,FALSE,en,Yousuf
1,FALSE,en,Braybrooke
0.669260680675507,FALSE,en,Sun
0.473076850175858,FALSE,es,Misa
0.598861992359161,FALSE,hr,Delijewski
0.264822095632553,FALSE,en,Xavier
0.509369075298309,FALSE,hi,Rusianingsih
0.26953125,FALSE,en,Bosch
0.158469781279564,FALSE,sv,da Silva
0.80232560634613,FALSE,id,Fitriani
0.48046875,FALSE,en,Cebrian
0.655038714408875,FALSE,en,Thomas
1,FALSE,ro,Butuci
0.864341080188751,FALSE,en,Barry
0.9609375,FALSE,en,Schwarzman
0.755905508995056,FALSE,pt,Barros
0.94921875,FALSE,en,Liu
0.737417459487915,FALSE,hu,Szromek
0.436509817838669,FALSE,hi,Saluja
0.747253060340881,FALSE,mr,Khedkar
1,FALSE,it,De Giorgio
0.764065861701965,FALSE,ar,جوان أسماعيل بكر خوشناو
0.455598443746567,FALSE,fr,Du
0.513725519180298,FALSE,ro,Plante
1,FALSE,en,Kirchler
1,FALSE,tr,Tayfuroglu
0.848249018192291,FALSE,en,Farrell
0.96875,FALSE,en,Coates
0.943544626235962,FALSE,sl,Torjesen
0.358206182718277,FALSE,is,Peytremann
1,FALSE,ar,"El-Sabawi, JD, PhD"
1,FALSE,en,Back
0.553312659263611,FALSE,su,Dodangeh
1,FALSE,en,Bojner Horwitz
0.88803094625473,FALSE,en,Clarke
0.87109375,FALSE,it,Crimi
0.393822401762009,FALSE,fr,Dalmat
0.4609375,FALSE,kn,Kodali
